Date_SingleModel,Home_SingleModel,Away_SingleModel,ActualWinner_SingleModel,PredictedWinner_SingleModel,ActualSpread_SingleModel,PredictedSpread_SingleModel,SpreadError_SingleModel,Correct_SingleModel,HomePoints_SingleModel,AwayPoints_SingleModel,PredictedHomePoints_SingleModel,PredictedAwayPoints_SingleModel,Date_weekBatchRetrain,Home_weekBatchRetrain,Away_weekBatchRetrain,ActualWinner_weekBatchRetrain,PredictedWinner_weekBatchRetrain,ActualSpread_weekBatchRetrain,PredictedSpread_weekBatchRetrain,SpreadError_weekBatchRetrain,Correct_weekBatchRetrain,HomePoints_weekBatchRetrain,AwayPoints_weekBatchRetrain,PredictedHomePoints_weekBatchRetrain,PredictedAwayPoints_weekBatchRetrain
2024-12-13,Chicago Bulls,Charlotte Hornets,Chicago Bulls,Chicago Bulls,14.0,15.7,1.6999999999999993,True,109.0,95.0,116.0,100.3,2024-12-13,Chicago Bulls,Charlotte Hornets,Chicago Bulls,Chicago Bulls,14.0,6.1,7.9,True,109.0,95.0,124.6,118.5
2024-12-13,Cleveland Cavaliers,Washington Wizards,Cleveland Cavaliers,Cleveland Cavaliers,10.0,16.6,6.600000000000001,True,115.0,105.0,119.0,102.4,2024-12-13,Cleveland Cavaliers,Washington Wizards,Cleveland Cavaliers,Cleveland Cavaliers,10.0,23.4,13.399999999999999,True,115.0,105.0,126.0,102.6
2024-12-13,Philadelphia 76ers,Indiana Pacers,Indiana Pacers,Indiana Pacers,14.0,8.3,5.699999999999999,True,107.0,121.0,103.0,111.3,2024-12-13,Philadelphia 76ers,Indiana Pacers,Indiana Pacers,Philadelphia 76ers,14.0,8.3,5.699999999999999,False,107.0,121.0,106.9,98.7
2024-12-13,Memphis Grizzlies,Brooklyn Nets,Memphis Grizzlies,Memphis Grizzlies,16.0,10.9,5.1,True,135.0,119.0,127.5,116.5,2024-12-13,Memphis Grizzlies,Brooklyn Nets,Memphis Grizzlies,Memphis Grizzlies,16.0,4.4,11.6,True,135.0,119.0,121.6,117.2
2024-12-13,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,Minnesota Timberwolves,10.0,8.4,1.5999999999999996,True,97.0,87.0,103.0,94.6,2024-12-13,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,Minnesota Timberwolves,10.0,16.2,6.199999999999999,True,97.0,87.0,107.2,90.9
2024-12-13,Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Denver Nuggets,22.0,12.0,10.0,True,120.0,98.0,120.1,108.1,2024-12-13,Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,22.0,2.1,19.9,False,120.0,98.0,117.7,119.8
2024-12-13,Utah Jazz,Phoenix Suns,Phoenix Suns,Phoenix Suns,8.0,3.2,4.8,True,126.0,134.0,122.6,125.9,2024-12-13,Utah Jazz,Phoenix Suns,Phoenix Suns,Phoenix Suns,8.0,3.2,4.8,True,126.0,134.0,119.3,122.5
2024-12-13,Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,2.0,4.3,2.3,True,116.0,118.0,112.9,117.2,2024-12-13,Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,2.0,10.1,8.1,True,116.0,118.0,113.6,123.7
2024-12-12,Miami Heat,Toronto Raptors,Miami Heat,Miami Heat,10.0,11.2,1.1999999999999993,True,114.0,104.0,115.1,103.9,2024-12-12,Miami Heat,Toronto Raptors,Miami Heat,Miami Heat,10.0,9.6,0.40000000000000036,True,114.0,104.0,117.7,108.1
2024-12-12,Boston Celtics,Detroit Pistons,Boston Celtics,Boston Celtics,24.0,17.6,6.399999999999999,True,123.0,99.0,123.2,105.7,2024-12-12,Boston Celtics,Detroit Pistons,Boston Celtics,Boston Celtics,24.0,13.4,10.6,True,123.0,99.0,125.9,112.5
