Metric,SingleModel,weekBatchRetrain
TotalGames,727.0,702.0
CorrectPredictions,596.0,484.0
Accuracy,0.8198074277854195,0.6894586894586895
AverageSpreadError,6.267950481430538,8.107692307692309
